dataset,leadFatJet_pt,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-inf, 0.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.0, 50.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[50.0, 100.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[100.0, 150.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[150.0, 200.0)",233,0.059789463877677917,1.5342402548412792e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[200.0, 250.0)",2536,0.65024250745773315,0.00016698856779839844
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[250.0, 300.0)",2551,0.65409159660339355,0.00016797626449260861
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[300.0, 350.0)",2491,0.63869518041610718,0.00016402543406002223
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[350.0, 400.0)",2350,0.60097390413284302,0.00015474097745027393
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[400.0, 450.0)",1844,0.47215712070465088,0.00012142227933509275
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[450.0, 500.0)",996,0.25506749749183655,6.5583837567828596e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[500.0, 550.0)",479,0.12291482090950012,3.1540821510134265e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[550.0, 600.0)",163,0.041313748806715012,1.073309795174282e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[600.0, 650.0)",99,0.025404106825590134,6.5188751250389032e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[650.0, 700.0)",47,0.01206053514033556,3.0948194762459025e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[700.0, 750.0)",41,0.010520892217755318,2.6997361146641197e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[750.0, 800.0)",30,0.0076982141472399235,1.9754168079089141e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[800.0, 850.0)",23,0.0059019639156758785,1.514486143605609e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[850.0, 900.0)",10,0.0025660712271928787,6.5847223140735878e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[900.0, 950.0)",8,0.0020528570748865604,5.2677779649457079e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[950.0, 1000.0)",4,0.0010264285374432802,2.633888982472854e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1000.0, 1050.0)",2,0.00051321426872164011,1.316944491236427e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1050.0, 1100.0)",3,0.00076982140308246017,1.9754168079089141e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1100.0, 1150.0)",2,0.00051321426872164011,1.316944491236427e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1150.0, 1200.0)",2,0.00051321426872164011,1.316944491236427e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1200.0, 1250.0)",4,0.0010264285374432802,2.633888982472854e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1250.0, 1300.0)",1,0.00025660713436082006,6.5847224561821349e-08
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1300.0, 1350.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1350.0, 1400.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1400.0, 1450.0)",4,0.0010264285374432802,2.633888982472854e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1450.0, 1500.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1500.0, 1550.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1550.0, 1600.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1600.0, 1650.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1650.0, 1700.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1700.0, 1750.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1750.0, 1800.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1800.0, 1850.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1850.0, 1900.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1900.0, 1950.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1950.0, 2000.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[2000.0, inf)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-inf, 0.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[0.0, 50.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[50.0, 100.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[100.0, 150.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[150.0, 200.0)",12,8.7258395069511607e-06,6.3450225976091623e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[200.0, 250.0)",216,0.00015706510748714209,1.1421041196113535e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[250.0, 300.0)",245,0.00017669824592303485,1.2954422257127618e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[300.0, 350.0)",327,0.00023196189431473613,1.7290187337426488e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[350.0, 400.0)",385,0.00027413677889853716,2.0356948071675873e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[400.0, 450.0)",423,0.00030322291422635317,2.2366206109403208e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[450.0, 500.0)",516,0.0003679395595099777,2.7283597603400267e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[500.0, 550.0)",562,0.00040284291026182473,2.9715857552403691e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[550.0, 600.0)",642,0.00046246949932537973,3.3945871114049453e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[600.0, 650.0)",639,0.00045301648788154125,3.3787245223848572e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[650.0, 700.0)",692,0.00049446424236521125,3.658963132480153e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[700.0, 750.0)",770,0.0005497278762049973,4.0713896143351747e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[750.0, 800.0)",833,0.00059990148292854428,4.404503428645512e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[800.0, 850.0)",872,0.00062680611154064536,4.6107165307951448e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[850.0, 900.0)",950,0.00068206980358809233,5.0231430126501664e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[900.0, 950.0)",985,0.00070752017199993134,5.2082060886249337e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[950.0, 1000.0)",1037,0.00074824073817580938,5.4831572615654522e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1000.0, 1050.0)",1123,0.0008064130088314414,5.9378840733259608e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1050.0, 1100.0)",1102,0.00078968849265947938,5.8268462277411004e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1100.0, 1150.0)",1178,0.00083622627425938845,6.2286975577308112e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1150.0, 1200.0)",1200,0.00085949519416317344,6.345022840470449e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1200.0, 1250.0)",1190,0.00085076934192329645,6.2921473586996512e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1250.0, 1300.0)",1183,0.00084858789341524243,6.2551347435046978e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1300.0, 1350.0)",1150,0.00082895474042743444,6.0806470969509974e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1350.0, 1400.0)",937,0.00066825386602431536,4.9544052194150368e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1400.0, 1450.0)",767,0.0005460921092890203,4.0555270253150866e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1450.0, 1500.0)",523,0.0003788468602579087,2.7653723755349802e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1500.0, 1550.0)",276,0.00019924000662285835,1.4593552755126638e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1550.0, 1600.0)",131,9.3802773335482925e-05,6.9266502256137841e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1600.0, 1650.0)",81,5.7445111451670527e-05,4.2828903618064018e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1650.0, 1700.0)",29,1.9633138435892761e-05,1.5333805405970402e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1700.0, 1750.0)",20,1.4543065844918601e-05,1.0575038240923096e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1750.0, 1800.0)",9,6.5443796302133705e-06,4.7587671650473062e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1800.0, 1850.0)",8,5.8172263379674405e-06,4.2300152096330645e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1850.0, 1900.0)",7,5.0900730457215104e-06,3.7012632542188229e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1900.0, 1950.0)",4,2.9086131689837202e-06,2.1150076048165323e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1950.0, 2000.0)",4,2.9086131689837202e-06,2.1150076048165323e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[2000.0, inf)",12,8.7258395069511607e-06,6.3450225976091623e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[-inf, 0.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[0.0, 50.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[50.0, 100.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[100.0, 150.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[150.0, 200.0)",245,0.00023773906286805868,2.3450635877608761e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[200.0, 250.0)",1445,0.0013902353821322322,1.3831089606952673e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[250.0, 300.0)",1139,0.0010869469260796905,1.0902152514091767e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[300.0, 350.0)",889,0.00085214286809787154,8.5092305424083747e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[350.0, 400.0)",661,0.00063690589740872383,6.3268856820286601e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[400.0, 450.0)",566,0.00054591934895142913,5.4175752772778196e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[450.0, 500.0)",418,0.00040308022289536893,4.0009656698813956e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[500.0, 550.0)",342,0.0003248122229706496,3.273517290569572e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[550.0, 600.0)",287,0.00027687306283041835,2.7470745123103768e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[600.0, 650.0)",244,0.00023676070850342512,2.3354917999540703e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[650.0, 700.0)",211,0.00020447515998966992,2.0196261329985532e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[700.0, 750.0)",162,0.00015457930567208678,1.5506135264686804e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[750.0, 800.0)",155,0.0001438174513168633,1.4836117057104303e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[800.0, 850.0)",108,0.00010370510426582769,1.033742327849474e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[850.0, 900.0)",94,9.1964902821928263e-05,8.9973868633297371e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[900.0, 950.0)",88,8.4138104284647852e-05,8.4230858399259034e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[950.0, 1000.0)",72,6.6527805756777525e-05,6.8916150564035661e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1000.0, 1050.0)",58,5.6744302128208801e-05,5.5515789881832589e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1050.0, 1100.0)",50,4.8917503590928391e-05,4.7858439433667854e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1100.0, 1150.0)",29,2.6415451429784298e-05,2.7757894940916295e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1150.0, 1200.0)",41,4.011235068901442e-05,3.9243920613163397e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1200.0, 1250.0)",22,2.152370143448934e-05,2.1057714599814759e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1250.0, 1300.0)",17,1.4675250895379577e-05,1.6271869268669192e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1300.0, 1350.0)",17,1.6631951439194381e-05,1.6271869268669192e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1350.0, 1400.0)",14,1.3696901078219526e-05,1.3400363284288286e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1400.0, 1450.0)",5,4.8917499952949584e-06,4.7858440301029592e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1450.0, 1500.0)",5,4.8917499952949584e-06,4.7858440301029592e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1500.0, 1550.0)",1,9.7835004453372676e-07,9.5716880602059184e-13
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1550.0, 1600.0)",5,4.8917499952949584e-06,4.7858440301029592e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1600.0, 1650.0)",3,2.9350501336011803e-06,2.8715064180617755e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1650.0, 1700.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1700.0, 1750.0)",2,1.9567000890674535e-06,1.9143376120411837e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1750.0, 1800.0)",1,9.7835004453372676e-07,9.5716880602059184e-13
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1800.0, 1850.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1850.0, 1900.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1900.0, 1950.0)",1,9.7835004453372676e-07,9.5716880602059184e-13
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1950.0, 2000.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[2000.0, inf)",1,9.7835004453372676e-07,9.5716880602059184e-13
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[-inf, 0.0)",0,0,0
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[0.0, 50.0)",0,0,0
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[50.0, 100.0)",0,0,0
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[100.0, 150.0)",0,0,0
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[150.0, 200.0)",4157,0.38964483141899109,3.6522273148875684e-05
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[200.0, 250.0)",7358,0.68968164920806885,6.4645391830708832e-05
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[250.0, 300.0)",7518,0.70467883348464966,6.6051106841769069e-05
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[300.0, 350.0)",6962,0.65256369113922119,6.1166239902377129e-05
